,filename,team,team_1,gender,season,date,event,venue,city,toss_winner,toss_decision,player_of_match,umpire,reserve_umpire,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,method,eliminator,players
1678,426428_info.csv,England,Pakistan,male,2010,2010/09/10,NatWest Series,Riverside Ground,Chester-le-Street,Pakistan,field,SM Davies,IJ Gould,RK Illingworth,RA Kettleborough,JJ Crowe,England,24,,,,,
1679,426429_info.csv,England,Pakistan,male,2010,2010/09/12,NatWest Series,Headingley,Leeds,Pakistan,bat,AJ Strauss,NJ Llong,RA Kettleborough,IJ Gould,JJ Crowe,England,,4,,,,
1680,426430_info.csv,England,Pakistan,male,2010,2010/09/17,NatWest Series,Kennington Oval,London,Pakistan,bat,Umar Gul,RK Illingworth,IJ Gould,NJ Llong,JJ Crowe,Pakistan,23,,,,,
1681,426431_info.csv,England,Pakistan,male,2010,2010/09/20,NatWest Series,Lord's,London,Pakistan,bat,Abdul Razzaq,RA Kettleborough,NJ Llong,RK Illingworth,JJ Crowe,Pakistan,38,,,,,
1682,426432_info.csv,England,Pakistan,male,2010,2010/09/22,NatWest Series,The Rose Bowl,Southampton,England,bat,EJG Morgan,IJ Gould,RK Illingworth,NJ Llong,JJ Crowe,England,121,,,,,
1683,426720_info.csv,New Zealand,Pakistan,male,2009/10,2009/11/03,Pakistan v New Zealand ODI Series,Sheikh Zayed Stadium,Abu Dhabi,Pakistan,bat,Shahid Afridi,BNJ Oxenford,Nadeem Ghauri,Zameer Haider,AJ Pycroft,Pakistan,138,,,,,
1684,426721_info.csv,New Zealand,Pakistan,male,2009/10,2009/11/06,Pakistan v New Zealand ODI Series,Sheikh Zayed Stadium,Abu Dhabi,New Zealand,bat,BB McCullum,Zameer Haider,Nadeem Ghauri,Asad Rauf,AJ Pycroft,New Zealand,64,,,,,
1685,426722_info.csv,New Zealand,Pakistan,male,2009/10,2009/11/09,Pakistan v New Zealand ODI Series,Sheikh Zayed Stadium,Abu Dhabi,New Zealand,bat,Mohammad Amir,BNJ Oxenford,Ahsan Raza,Zameer Haider,AJ Pycroft,New Zealand,7,,,,,
1686,430508_info.csv,South Africa,Zimbabwe,male,2009/10,2009/11/08,Zimbabwe in South Africa ODI Series,Willowmoore Park,Benoni,Zimbabwe,field,T Taibu,RE Koertzen,KH Hurter,JD Cloete,J Srinath,South Africa,45,,,,,
1687,430509_info.csv,South Africa,Zimbabwe,male,2009/10,2009/11/10,Zimbabwe in South Africa ODI Series,SuperSport Park,Centurion,Zimbabwe,field,JP Duminy,HDPK Dharmasena,KH Hurter,RE Koertzen,J Srinath,South Africa,212,,,,,
1688,430886_info.csv,India,Sri Lanka,male,2009/10,2009/12/15,Sri Lanka in India ODI Series,Madhavrao Scindia Cricket Ground,Rajkot,Sri Lanka,field,V Sehwag,SK Tarapore,UV Gandhe,SS Hazare,JJ Crowe,India,3,,,,,
1689,430887_info.csv,India,Sri Lanka,male,2009/10,2009/12/18,Sri Lanka in India ODI Series,"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,India,bat,TM Dilshan,SK Tarapore,UV Gandhe,SS Hazare,JJ Crowe,Sri Lanka,,3,,,,
1690,430888_info.csv,India,Sri Lanka,male,2009/10,2009/12/21,Sri Lanka in India ODI Series,Barabati Stadium,Cuttack,Sri Lanka,bat,RA Jadeja,SS Hazare,S Das,SK Tarapore,AG Hurst,India,,7,,,,
1691,430889_info.csv,India,Sri Lanka,male,2009/10,2009/12/24,Sri Lanka in India ODI Series,Eden Gardens,Kolkata,Sri Lanka,bat,G Gambhir,SS Hazare,S Das,SK Tarapore,AG Hurst,India,,7,,,,
1692,430890_info.csv,India,Sri Lanka,male,2009/10,2009/12/27,Sri Lanka in India ODI Series,Feroz Shah Kotla,Delhi,India,field,,SK Tarapore,S Das,SS Hazare,AG Hurst,,,,no result,,,
1693,433558_info.csv,Bangladesh,India,male,2010/11,2011/02/19,ICC Cricket World Cup,Shere Bangla National Stadium,Mirpur,Bangladesh,field,V Sehwag,HDPK Dharmasena,Asad Rauf,BR Doctrove,RS Madugalle,India,87,,,,,
1694,433559_info.csv,Kenya,New Zealand,male,2010/11,2011/02/20,ICC Cricket World Cup,"MA Chidambaram Stadium, Chepauk",Chennai,Kenya,bat,HK Bennett,RJ Tucker,S Asnani,Aleem Dar,RS Mahanama,New Zealand,,10,,,,
1695,433560_info.csv,Sri Lanka,Canada,male,2010/11,2011/02/20,ICC Cricket World Cup,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka,bat,DPMD Jayawardene,SK Tarapore,DJ Harper,AL Hill,BC Broad,Sri Lanka,210,,,,,
1696,433561_info.csv,Australia,Zimbabwe,male,2010/11,2011/02/21,ICC Cricket World Cup,"Sardar Patel Stadium, Motera",Ahmedabad,Australia,bat,SR Watson,RA Kettleborough,SJA Taufel,AM Saheba,RS Mahanama,Australia,91,,,,,
